"ID","Price","Date of Transfer","Postcode","Property Type","Old/New","Duration","PAON","SAON","Street","Locality","Town/City","Local Authority","County","Record Status"
"{3B0DA29C-C89A-4FAA-918A-0000074FA0E0}","190000","2013-10-04 00:00","SN14 8LU","T","N","F","148","","HIGH STREET","MARSHFIELD","CHIPPENHAM","SOUTH GLOUCESTERSHIRE","SOUTH GLOUCESTERSHIRE","A"
"{55743403-C4CB-459D-8B15-000110F3CFCA}","420000","2013-10-04 00:00","RG42 6LN","S","N","F","SIDMOUTH COTTAGES","2","BRACKNELL ROAD","BROCK HILL","BRACKNELL","BRACKNELL FOREST","BRACKNELL FOREST","A"
"{D13EF4A0-8B61-4886-BADA-0001780BD6BA}","250000","2013-06-28 00:00","SK17 8SN","T","N","F","THE MILL","","","MILLERS DALE","BUXTON","HIGH PEAK","DERBYSHIRE","A"
"{3D74FE62-3423-4F13-8FEF-0001D8030578}","179950","2013-08-28 00:00","OX16 9LW","S","N","F","11","","WESLEY DRIVE","","BANBURY","CHERWELL","OXFORDSHIRE","A"
"{8BA9EA94-0A29-4195-947F-000210F13EF0}","310000","2013-10-18 00:00","BA13 4LA","D","N","F","6","","","HAWKERIDGE","WESTBURY","WILTSHIRE","WILTSHIRE","A"
"{65C935D7-2F81-4D29-9CA7-0002AA741584}","360000","2013-09-25 00:00","RH4 3DX","T","N","F","7","","WESTFIELD GARDENS","","DORKING","MOLE VALLEY","SURREY","A"
"{7F475813-7D15-4261-AD23-00031DEF95DF}","167500","2013-10-10 00:00","NR2 2BE","T","N","F","100","","CAMBRIDGE STREET","","NORWICH","NORWICH","NORFOLK","A"
"{D79BCD49-244F-451D-B57E-0004431BF677}","180000","2013-10-25 00:00","ME2 3TS","S","N","F","12","","CADNAM CLOSE","","ROCHESTER","MEDWAY","MEDWAY","A"
"{9D7CAEBE-51DB-4817-81ED-0004542E3D87}","142500","2013-08-30 00:00","HD9 1LT","S","N","F","29","","DALESIDE AVENUE","NEW MILL","HOLMFIRTH","KIRKLEES","WEST YORKSHIRE","A"
"{AA34922F-6466-4284-AF22-00058CBFC762}","94000","2013-10-18 00:00","DE7 9HJ","S","N","F","26","","BARCLAY COURT","","ILKESTON","EREWASH","DERBYSHIRE","A"
